Date,Open,High,Low,Close,Volume,Market Gap
"Aug 31, 2019",9597.54,9673.22,9531.8,9630.66,"11,45,48,06,419","1,72,47,07,43,516"
"Aug 30, 2019",9514.84,9656.12,9428.3,9598.17,"13,59,52,63,986","1,71,86,92,16,524"
"Aug 29, 2019",9756.79,9756.79,9421.63,9510.2,"17,04,58,78,501","1,70,27,49,10,132"
"Aug 28, 2019",10203.43,10279.37,9716.66,9754.42,"17,60,37,90,323","1,74,62,74,60,400"
"Aug 27, 2019",10372.83,10381.33,10087.3,10185.5,"14,76,26,09,503","1,82,32,55,40,955"
"Aug 26, 2019",10126.3,10512.33,10126.3,10370.82,"18,43,86,54,080","1,85,62,52,35,889"
"Aug 25, 2019",10160.74,10304.62,10008.79,10138.52,"14,15,38,56,610","1,81,45,01,86,164"
"Aug 24, 2019",10407.64,10418.02,9982.3,10159.96,"15,45,10,30,650","1,81,81,36,31,752"
"Aug 23, 2019",10136.31,10442.44,10078.19,10407.97,"15,62,70,23,886","1,86,23,14,09,722"
"Aug 22, 2019",10142.52,10233,9831.46,10131.06,"17,09,75,08,856","1,81,25,71,25,783"
"Aug 21, 2019",10764.57,10798.73,9962.72,10138.05,"19,47,30,84,768","1,81,36,45,02,142"
"Aug 20, 2019",10916.35,10947.04,10618.96,10763.23,"15,05,30,82,175","1,92,53,02,83,565"
"Aug 19, 2019",10350.28,10916.05,10313.2,10916.05,"16,03,82,64,603","1,95,24,33,06,008"
"Aug 18, 2019",10233.01,10487.07,10119.09,10345.81,"12,99,98,13,869","1,85,02,29,20,955"
"Aug 17, 2019",10358.72,10452.62,10086.7,10231.74,"13,77,80,35,685","1,82,96,68,57,173"
"Aug 16, 2019",10319.42,10524.35,9855.48,10374.34,"20,22,82,07,096","1,85,50,00,55,339"
"Aug 15, 2019",10038.42,10437.41,9675.32,10311.55,"22,89,91,15,082","1,84,35,76,66,577"
"Aug 14, 2019",10889.49,10889.56,10028.14,10051.7,"19,99,08,38,300","1,79,69,28,03,424"
"Aug 13, 2019",11385.05,11420.05,10830.33,10895.83,"16,68,15,03,537","1,94,76,26,96,644"
"Aug 12, 2019",11528.19,11528.19,11320.95,11382.62,"13,64,71,98,229","2,03,44,14,94,985"
"Aug 11, 2019",11349.74,11523.58,11248.29,11523.58,"15,77,43,71,518","2,05,94,16,32,235"
"Aug 10, 2019",11861.56,11915.66,11323.9,11354.02,"18,12,53,55,447","2,02,89,00,20,455"
"Aug 09, 2019",11953.47,11970.46,11709.75,11862.94,"18,33,99,89,960","2,11,96,13,19,133"
"Aug 08, 2019",11954.04,11979.42,11556.17,11966.41,"19,48,15,91,730","2,13,78,80,89,212"
"Aug 07, 2019",11476.19,12036.99,11433.7,11941.97,"22,19,49,88,641","2,13,33,04,26,789"
"Aug 06, 2019",11811.55,12273.82,11290.73,11478.17,"23,63,51,07,660","2,05,02,33,47,814"
"Aug 05, 2019",10960.74,11895.09,10960.74,11805.65,"23,87,59,88,832","2,10,84,88,22,060"
"Aug 04, 2019",10821.63,11009.21,10620.28,10970.18,"16,53,08,94,787","1,95,90,78,75,403"
"Aug 03, 2019",10519.28,10946.78,10503.5,10821.73,"15,35,26,85,061","1,93,23,39,60,601"
"Aug 02, 2019",10402.04,10657.95,10371.01,10518.17,"17,48,90,94,082","1,87,79,10,90,996"
"Aug 01, 2019",10077.44,10446.92,9922.02,10399.67,"17,16,53,37,858","1,85,65,32,03,391"
"Jul 31, 2019",9604.05,10085.63,9598.1,10085.63,"16,63,15,20,648","1,80,02,89,59,603"
"Jul 30, 2019",9522.33,9701.76,9437.34,9607.42,"13,82,98,11,132","1,71,47,24,52,506"
"Jul 29, 2019",9548.18,9681.65,9472.95,9519.15,"13,79,14,45,323","1,69,88,03,43,827"
"Jul 28, 2019",9491.63,9575.55,9252.3,9552.86,"13,73,86,87,093","1,70,46,19,58,074"
"Jul 27, 2019",9871.16,10167.32,9411.52,9477.68,"16,81,78,09,536","1,69,09,95,40,423"
"Jul 26, 2019",9913.13,9916.52,9717.98,9870.3,"14,49,57,14,483","1,76,08,59,68,354"
"Jul 25, 2019",9809.1,10154.25,9773.96,9911.84,"15,82,19,52,090","1,76,80,64,51,137"
"Jul 24, 2019",9887.73,9908.8,9614.31,9811.93,"17,39,87,34,322","1,75,00,57,60,794"
"Jul 23, 2019",10346.75,10346.75,9883.6,9900.77,"17,85,19,16,995","1,76,57,28,90,702"
"Jul 22, 2019",10596.95,10651.79,10154.92,10343.11,"16,33,44,14,913","1,84,44,34,40,748"
"Jul 21, 2019",10777.53,10841.89,10389.6,10599.11,"17,13,05,80,467","1,88,98,74,75,962"
"Jul 20, 2019",10525.82,11048.66,10451.28,10767.14,"20,20,66,15,155","1,91,96,36,91,255"
"Jul 19, 2019",10653.96,10716.98,10229.63,10530.73,"20,72,74,26,310","1,87,72,55,78,628"
"Jul 18, 2019",9698.5,10736.84,9376.8,10666.48,"25,18,70,24,648","1,90,12,99,18,121"
"Jul 17, 2019",9471.21,9963.13,9163.13,9693.8,"24,56,99,21,549","1,72,77,72,50,515"
"Jul 16, 2019",10896.65,10996.63,9448.11,9477.64,"24,15,11,99,070","1,68,90,86,40,950"
"Jul 15, 2019",10257.84,11052.77,9992.01,10895.09,"25,38,40,47,207","1,94,14,76,27,475"
"Jul 14, 2019",11381.02,11451.2,10234.58,10256.06,"22,48,60,00,001","1,82,74,19,33,552"
"Jul 13, 2019",11813.13,11841.96,10908.48,11392.38,"21,04,26,16,384","2,02,96,81,91,001"
"Jul 12, 2019",11354.3,11905.49,11179.14,11815.99,"23,53,46,92,797","2,10,49,44,17,832"
"Jul 11, 2019",12139.71,12144.62,11158.92,11358.66,"28,59,53,27,690","2,02,32,41,74,692"
"Jul 10, 2019",12571.54,13129.53,11710.98,12156.51,"33,62,75,74,244","2,16,51,59,99,522"
"Jul 09, 2019",12284.33,12779.13,12233.26,12573.81,"28,16,79,21,523","2,23,92,81,28,583"
"Jul 08, 2019",11446.6,12345.83,11393.37,12285.96,"23,48,25,51,458","2,18,77,83,55,444"
"Jul 07, 2019",11217.62,11541.62,11148.8,11450.85,"19,36,90,44,277","2,03,88,18,91,346"
"Jul 06, 2019",10982.54,11620.97,10982.54,11208.55,"21,09,20,24,306","1,99,54,61,10,914"
"Jul 05, 2019",11203.1,11395.66,10874.96,10978.46,"23,83,84,80,210","1,95,42,46,78,267"
"Jul 04, 2019",11972.72,12006.08,11166.57,11215.44,"25,92,02,94,033","1,99,61,74,04,432"
"Jul 03, 2019",10818.16,11968.08,10818.16,11961.27,"30,79,64,94,294","2,12,86,70,79,175"
"Jul 02, 2019",10588.68,10912.19,9737.88,10801.68,"31,01,58,95,223","1,92,20,65,36,806"
"Jul 01, 2019",10796.93,11206.44,10089.31,10583.13,"29,37,85,89,324","1,88,29,76,37,574"
"Jun 30, 2019",11931.99,12178.38,10799.01,10817.16,"27,25,64,73,494","1,92,44,20,65,810"
"Jun 29, 2019",12400.76,12400.91,11508.38,11959.37,"29,92,39,61,128","2,12,73,97,13,110"
"Jun 28, 2019",11162.17,12445.18,10914.49,12407.33,"35,08,77,57,766","2,20,68,14,59,666"
"Jun 27, 2019",13017.12,13311.14,10491.85,11182.81,"39,97,74,75,223","1,98,87,89,40,964"
"Jun 26, 2019",11778.58,13796.49,11755.6,13016.23,"45,10,57,33,173","2,31,46,21,17,209"
"Jun 25, 2019",11007.2,11790.92,11007.2,11790.92,"24,87,96,84,533","2,09,64,79,43,360"
"Jun 24, 2019",10853.74,11065.9,10610.43,11011.1,"19,27,16,52,365","1,95,76,26,68,679"
"Jun 23, 2019",10696.69,11246.14,10556.1,10855.37,"20,99,83,26,502","1,92,97,00,90,355"
"Jun 22, 2019",10175.92,11157.35,10107.04,10701.69,"29,99,52,04,861","1,90,21,41,24,824"
"Jun 21, 2019",9525.07,10144.56,9525.07,10144.56,"20,62,40,08,643","1,80,29,32,41,528"
"Jun 20, 2019",9273.06,9594.42,9232.48,9527.16,"17,84,68,23,784","1,69,30,47,84,791"
"Jun 19, 2019",9078.73,9299.62,9070.4,9273.52,"15,54,68,09,946","1,64,78,08,55,869"
"Jun 18, 2019",9335.47,9348.37,9004.9,9081.76,"15,84,82,10,536","1,61,35,36,37,186"
"Jun 17, 2019",8988.92,9416.41,8988.92,9320.35,"15,56,29,51,919","1,65,57,33,72,261"
"Jun 16, 2019",8841.44,9335.87,8814.56,8994.49,"23,34,85,50,311","1,59,76,94,23,370"
"Jun 15, 2019",8689.75,8859.13,8618.4,8838.38,"18,37,10,33,226","1,56,98,21,38,835"
"Jun 14, 2019",8230.9,8710.64,8183.39,8693.83,"19,83,11,62,906","1,54,39,88,80,249"
"Jun 13, 2019",8145.55,8311.57,8087.06,8230.92,"18,66,94,07,147","1,46,16,03,17,148"
"Jun 12, 2019",7925.43,8196.65,7862.36,8145.86,"19,03,44,32,883","1,44,63,46,84,711"
"Jun 11, 2019",8004.24,8026.39,7772.8,7927.71,"17,10,72,79,932","1,40,74,85,37,530"
"Jun 10, 2019",7692.28,8031.91,7586.73,8000.33,"18,68,92,75,117","1,42,02,33,51,079"
"Jun 09, 2019",7949.67,7975.97,7583.22,7688.08,"16,61,07,26,547","1,36,46,50,98,533"
"Jun 08, 2019",8036.77,8076.89,7837.61,7954.13,"16,52,27,22,810","1,41,17,28,41,635"
"Jun 07, 2019",7826.9,8126.15,7788.37,8043.95,"19,14,14,23,231","1,42,75,46,93,588"
"Jun 06, 2019",7819.63,7937.34,7571.47,7822.02,"19,47,46,11,077","1,38,80,07,25,479"
"Jun 05, 2019",7704.34,7901.85,7668.67,7824.23,"21,76,09,23,463","1,38,82,46,51,666"
"Jun 04, 2019",8210.99,8210.99,7564.49,7707.77,"24,60,97,31,549","1,36,74,27,90,469"
"Jun 03, 2019",8741.75,8743.5,8204.19,8208.99,"22,00,45,11,436","1,45,61,90,47,341"
"Jun 02, 2019",8565.47,8809.3,8561.24,8742.96,"20,26,62,16,022","1,55,07,72,31,351"
"Jun 01, 2019",8573.84,8625.6,8481.58,8564.02,"22,48,83,03,544","1,51,89,02,14,310"
"May 31, 2019",8320.29,8586.66,8172.55,8574.5,"25,36,51,90,957","1,52,05,98,86,414"
"May 30, 2019",8661.76,9008.31,8221.27,8319.47,"29,24,65,28,551","1,47,52,51,41,134"
"May 29, 2019",8718.59,8755.85,8482.73,8659.49,"23,47,34,79,966","1,53,53,70,47,655"
"May 28, 2019",8802.76,8807.02,8634.72,8719.96,"24,22,69,19,267","1,54,59,02,02,287"
"May 27, 2019",8674.07,8907.17,8668.7,8805.78,"27,94,98,39,564","1,56,09,37,54,762"
"May 26, 2019",8055.21,8687.52,7924.67,8673.22,"26,67,79,70,091","1,53,72,54,86,067"
"May 25, 2019",7991.89,8117.93,7965.98,8052.54,"22,25,68,13,107","1,42,70,81,88,838"
"May 24, 2019",7881.7,8140.72,7824.45,7987.37,"25,91,91,26,991","1,41,53,91,15,575"
"May 23, 2019",7677.27,7943.79,7533.2,7881.85,"24,45,71,07,820","1,39,65,41,07,035"
"May 22, 2019",7956.29,7997.61,7615.99,7680.07,"24,71,94,73,175","1,36,06,38,98,960"
"May 21, 2019",7977.97,8062.17,7843.34,7963.33,"25,12,72,45,056","1,41,06,55,73,610"
"May 20, 2019",8196.92,8200.97,7678.78,7978.31,"23,84,34,04,340","1,41,31,56,95,728"
