Date,Open,High,Low,Close,Volume,Market Cap
"Aug 31, 2019",0.002482,0.002529,0.002459,0.002511,"2,39,27,277","30,38,98,754"
"Aug 30, 2019",0.002451,0.002487,0.002427,0.002482,"2,38,09,187","30,02,73,834"
"Aug 29, 2019",0.002523,0.002524,0.002392,0.00245,"2,86,41,509","29,63,53,533"
"Aug 28, 2019",0.002622,0.002633,0.002511,0.002524,"2,36,02,879","30,52,81,911"
"Aug 27, 2019",0.00268,0.002788,0.0026,0.00262,"2,12,50,034","31,69,22,333"
"Aug 26, 2019",0.002652,0.002829,0.00264,0.002679,"2,29,74,750","32,40,57,575"
"Aug 25, 2019",0.002663,0.002888,0.002625,0.002662,"2,27,27,727","32,19,22,165"
"Aug 24, 2019",0.002713,0.002725,0.002614,0.002661,"2,22,99,027","32,17,87,503"
"Aug 23, 2019",0.002709,0.002899,0.002657,0.002713,"2,16,15,807","32,80,52,057"
"Aug 22, 2019",0.002676,0.002731,0.002617,0.0027,"2,18,13,055","32,64,18,779"
"Aug 21, 2019",0.002764,0.00277,0.00262,0.002675,"2,10,56,919","32,32,82,143"
"Aug 20, 2019",0.002798,0.002807,0.002714,0.002763,"1,96,82,454","33,39,73,894"
"Aug 19, 2019",0.002723,0.002827,0.002716,0.002797,"2,03,01,072","33,80,22,974"
"Aug 18, 2019",0.002647,0.00273,0.002622,0.002723,"2,08,32,602","32,89,61,191"
"Aug 17, 2019",0.002684,0.00269,0.002619,0.002646,"1,87,47,565","31,96,57,988"
"Aug 16, 2019",0.002641,0.002714,0.002561,0.002681,"1,97,95,789","32,38,21,638"
"Aug 15, 2019",0.00272,0.002753,0.002584,0.00264,"3,21,24,644","31,88,49,059"
"Aug 14, 2019",0.002823,0.00283,0.002715,0.002722,"3,43,84,340","32,87,06,637"
"Aug 13, 2019",0.002883,0.00289,0.002804,0.002825,"2,73,08,535","34,11,24,652"
"Aug 12, 2019",0.002896,0.002901,0.002869,0.00288,"2,15,54,919","34,77,50,297"
"Aug 11, 2019",0.002845,0.002902,0.002839,0.002898,"1,62,29,246","34,98,86,911"
"Aug 10, 2019",0.002905,0.002929,0.002796,0.002842,"1,79,20,883","34,31,20,072"
"Aug 09, 2019",0.002929,0.002933,0.002869,0.002904,"2,15,28,298","35,05,68,745"
"Aug 08, 2019",0.003005,0.003012,0.002858,0.002928,"1,69,93,741","35,34,08,334"
"Aug 07, 2019",0.002951,0.00305,0.002938,0.003006,"2,65,51,305","36,27,45,386"
"Aug 06, 2019",0.003089,0.003316,0.002919,0.00295,"1,97,86,133","35,59,91,866"
"Aug 05, 2019",0.002938,0.003162,0.002936,0.003087,"3,10,37,239","37,24,77,433"
"Aug 04, 2019",0.002913,0.002984,0.002864,0.002938,"1,92,38,655","35,44,83,149"
"Aug 03, 2019",0.002908,0.00296,0.0029,0.002912,"1,58,13,943","35,12,75,678"
"Aug 02, 2019",0.002957,0.002975,0.002897,0.002909,"1,85,50,954","35,08,30,677"
"Aug 01, 2019",0.0029,0.002959,0.00286,0.002957,"2,02,06,543","35,66,41,798"
"Jul 31, 2019",0.002816,0.002908,0.002816,0.002899,"2,13,10,977","34,96,10,538"
"Jul 30, 2019",0.002831,0.002888,0.002801,0.002817,"1,68,99,416","33,96,90,583"
"Jul 29, 2019",0.002859,0.002897,0.002809,0.00284,"1,90,54,200","34,23,96,265"
"Jul 28, 2019",0.002822,0.002887,0.002792,0.002859,"1,98,78,103","34,46,66,083"
"Jul 27, 2019",0.002923,0.00303,0.002797,0.002823,"2,09,01,185","34,02,10,524"
"Jul 26, 2019",0.002921,0.002949,0.002882,0.002921,"1,94,38,979","35,19,72,411"
"Jul 25, 2019",0.00291,0.003018,0.002905,0.002921,"2,06,53,975","35,19,99,833"
"Jul 24, 2019",0.00288,0.002917,0.002816,0.002915,"2,38,40,681","35,12,65,072"
"Jul 23, 2019",0.003,0.003003,0.002874,0.00288,"2,10,06,916","34,69,89,162"
"Jul 22, 2019",0.003076,0.0031,0.002966,0.002997,"1,91,74,676","36,09,73,874"
"Jul 21, 2019",0.003118,0.003166,0.002983,0.003076,"1,83,49,874","37,04,39,303"
"Jul 20, 2019",0.003064,0.003187,0.003038,0.003118,"2,34,24,227","37,54,96,389"
"Jul 19, 2019",0.00312,0.003135,0.002971,0.003059,"2,09,56,541","36,83,22,123"
"Jul 18, 2019",0.003031,0.003145,0.002876,0.003121,"4,02,18,356","37,58,02,425"
"Jul 17, 2019",0.002819,0.003177,0.002772,0.00303,"4,18,38,001","36,47,96,543"
"Jul 16, 2019",0.003093,0.003125,0.002802,0.002825,"4,09,80,833","34,00,39,853"
"Jul 15, 2019",0.00302,0.003133,0.002922,0.003092,"4,30,28,086","37,21,53,997"
"Jul 14, 2019",0.00325,0.003259,0.00301,0.003014,"3,63,39,861","36,27,18,199"
"Jul 13, 2019",0.003343,0.003351,0.003174,0.003249,"2,72,43,201","39,09,20,284"
"Jul 12, 2019",0.003241,0.003368,0.003207,0.00334,"3,54,28,239","40,18,65,726"
"Jul 11, 2019",0.003417,0.003426,0.003189,0.003243,"4,36,09,123","39,01,19,795"
"Jul 10, 2019",0.003551,0.0036,0.003364,0.003424,"4,90,78,577","41,18,46,678"
"Jul 09, 2019",0.003556,0.003615,0.003459,0.003549,"4,26,13,827","42,68,61,436"
"Jul 08, 2019",0.003635,0.003644,0.003513,0.003559,"4,16,82,712","42,79,75,399"
"Jul 07, 2019",0.003553,0.003658,0.003495,0.003633,"4,43,79,649","43,68,92,154"
"Jul 06, 2019",0.003872,0.003968,0.00347,0.003547,"6,50,31,784","42,64,21,766"
"Jul 05, 2019",0.003226,0.004471,0.00313,0.003867,"18,79,24,151","46,48,39,136"
"Jul 04, 2019",0.003314,0.003357,0.003131,0.003229,"3,64,33,330","38,80,85,563"
"Jul 03, 2019",0.003207,0.003336,0.003172,0.003313,"3,75,86,127","39,82,04,901"
"Jul 02, 2019",0.003237,0.00336,0.00308,0.003204,"4,15,81,109","38,50,00,908"
"Jul 01, 2019",0.00325,0.003325,0.003093,0.003238,"4,27,71,993","38,90,69,551"
"Jun 30, 2019",0.003418,0.003446,0.003247,0.003258,"4,35,49,174","39,14,23,318"
"Jun 29, 2019",0.003479,0.003486,0.003314,0.003405,"4,65,94,481","40,90,63,099"
"Jun 28, 2019",0.003332,0.003523,0.003315,0.00349,"6,53,10,778","41,91,71,360"
