Date,Open*,High,Low,Close**,Volume,Market Cap
"Aug 31, 2019",3.42,3.42,3.05,3.32,46797.37,32250301
"Aug 30, 2019",3.28,3.45,3.26,3.42,20750.8,33185397
"Aug 29, 2019",3.9,3.9,3.24,3.28,95501.73,31847416
"Aug 28, 2019",3.87,3.96,3.16,3.68,95883.65,35693698
"Aug 27, 2019",4.03,4.04,3.85,3.87,19827.49,37570535
"Aug 26, 2019",4.2,4.33,3.94,4.03,43535.61,39140623
"Aug 25, 2019",4.06,4.36,4.02,4.2,68008.29,40724838
"Aug 24, 2019",3.8,4.44,3.74,4.06,248775,39416707
"Aug 23, 2019",3.55,3.85,3.32,3.8,77735.78,36846185
"Aug 22, 2019",3.09,3.79,2.99,3.55,194936,34426071
"Aug 21, 2019",3.24,3.25,3,3.09,36341.12,30021344
"Aug 20, 2019",3.32,3.42,3.22,3.24,30661.76,31433483
"Aug 19, 2019",3.23,3.43,3.18,3.32,72525.11,32183798
"Aug 18, 2019",3.19,3.42,2.98,3.23,168248,31328640
"Aug 17, 2019",3.15,3.23,3.08,3.19,15044.4,30909823
"Aug 16, 2019",3.22,3.31,3.08,3.15,41907.78,30569077
"Aug 15, 2019",3.04,3.3,2.99,3.22,79910.22,31225867
"Aug 14, 2019",3.2,3.43,3.03,3.04,144965,29447796
"Aug 13, 2019",3.29,3.67,3.15,3.2,232681,31027955
"Aug 12, 2019",3.49,3.81,3.24,3.29,212414,31913511
"Aug 11, 2019",3.54,3.65,3.51,3.52,36474.73,34125202
"Aug 10, 2019",3.74,3.99,3.48,3.54,236376,34308667
"Aug 09, 2019",3.83,4.38,3.58,3.74,318317,36229004
"Aug 08, 2019",3.84,4.2,3.65,3.83,320150,37109751
"Aug 07, 2019",4.03,4.06,3.75,3.84,147819,37244958
"Aug 06, 2019",4.08,4.17,3.93,4.03,90817.21,39019456
"Aug 05, 2019",4.14,4.39,3.94,4.09,181587,39591529
"Aug 04, 2019",4.16,4.33,3.99,4.14,121651,40069699
"Aug 03, 2019",4,4.19,4,4.16,44428.13,40263928
"Aug 02, 2019",4.1,4.48,3.94,4,222437,38777939
"Aug 01, 2019",4.05,4.31,3.82,4.1,171498,39685239
"Jul 31, 2019",3.93,4.31,3.89,4.05,209594,39208398
"Jul 30, 2019",3.95,4.17,3.86,3.93,137464,38068951
"Jul 29, 2019",4.04,4.13,3.91,3.95,27012.52,38209359
"Jul 28, 2019",3.97,4.19,3.89,4.04,159660,39105280
"Jul 27, 2019",3.98,4.34,3.76,3.97,238572,38415980
"Jul 26, 2019",3.99,4.2,3.8,3.98,264445,38478885
"Jul 25, 2019",4.13,4.39,3.98,3.99,165649,38645954
"Jul 24, 2019",4.19,4.2,4.05,4.13,61286.69,39988848
"Jul 23, 2019",4.14,4.44,3.89,4.19,382676,40558372
"Jul 22, 2019",4.23,4.37,4.11,4.14,95676.29,40034691
"Jul 21, 2019",4.38,4.57,4.1,4.23,92841.67,40926928
"Jul 20, 2019",4.26,4.49,4.06,4.38,137381,42364794
"Jul 19, 2019",4.25,4.35,3.93,4.26,154587,41181471
"Jul 18, 2019",4.21,4.46,3.91,4.25,114630,41128602
"Jul 17, 2019",4.29,4.42,3.78,4.21,480866,40687611
"Jul 16, 2019",4.26,4.87,3.84,4.3,323384,41578370
"Jul 15, 2019",4.34,4.5,3.87,4.26,131618,41168939
"Jul 14, 2019",4.68,4.96,4.32,4.34,261300,41912858
"Jul 13, 2019",4.42,4.82,4.18,4.68,248094,45193005
"Jul 12, 2019",4.34,4.81,4.31,4.42,148994,42671806
"Jul 11, 2019",4.41,4.98,3.97,4.34,476373,41909662
