Date,Open,High,Low,Close,Volume,Market Cap
"Aug 31, 2019",64.36,65.27,63.01,64.58,"2,28,33,40,831","4,07,83,58,696"
"Aug 30, 2019",64.08,65.44,62.61,64.33,"2,37,74,66,438","4,06,25,42,325"
"Aug 29, 2019",67.36,67.43,63.63,64.1,"3,09,23,32,444","4,04,72,72,938"
"Aug 28, 2019",72.9,73.05,66.54,67.43,"2,88,30,41,616","4,25,68,92,976"
"Aug 27, 2019",73.93,73.93,72.37,72.84,"2,48,96,89,274","4,59,79,66,230"
"Aug 26, 2019",72.32,74.99,72.12,73.86,"3,04,61,36,697","4,66,18,93,373"
"Aug 25, 2019",73.47,74.73,71.17,72.31,"2,22,74,00,267","4,56,36,12,040"
"Aug 24, 2019",75.41,75.69,72.32,73.46,"2,19,19,73,575","4,63,60,16,950"
"Aug 23, 2019",73.58,75.69,72.87,75.4,"2,49,65,13,401","4,75,78,19,433"
"Aug 22, 2019",72.95,74.57,71.31,73.6,"2,90,88,64,703","4,64,34,56,772"
"Aug 21, 2019",75.24,75.47,70.58,72.96,"2,87,85,67,011","4,60,29,87,629"
"Aug 20, 2019",77.3,77.44,73.94,75.2,"2,43,01,65,429","4,74,32,07,580"
"Aug 19, 2019",76.34,78.51,75.88,77.26,"2,34,67,96,021","4,87,30,84,523"
"Aug 18, 2019",72.84,77.56,71.67,76.27,"2,74,32,41,606","4,80,98,76,077"
"Aug 17, 2019",74.91,75.33,72.27,72.8,"2,48,23,85,549","4,59,04,67,351"
"Aug 16, 2019",76.32,77.17,73.07,74.92,"3,01,60,89,036","4,72,38,24,771"
"Aug 15, 2019",76.13,78.51,73,76.39,"3,65,40,75,558","4,81,59,69,361"
"Aug 14, 2019",84.42,85.55,75.96,76.06,"3,09,30,90,406","4,79,49,92,635"
"Aug 13, 2019",85.75,86.32,83.35,84.41,"2,68,17,87,838","5,32,02,29,477"
"Aug 12, 2019",89.7,89.71,85.63,85.75,"2,71,61,87,719","5,40,42,72,824"
"Aug 11, 2019",85.45,91.03,85.45,89.75,"3,02,57,87,942","5,65,59,24,170"
"Aug 10, 2019",84.39,87.11,83.14,85.42,"3,08,80,60,147","5,38,22,72,086"
"Aug 09, 2019",90.09,90.36,83.49,84.44,"3,00,32,78,177","5,31,99,84,195"
"Aug 08, 2019",90.91,91.72,88.5,90.03,"3,03,47,17,882","5,67,17,48,769"
"Aug 07, 2019",93.04,93.74,88.54,90.91,"3,10,59,89,436","5,72,67,08,990"
"Aug 06, 2019",96.89,98.98,91.66,93.07,"3,24,53,39,849","5,86,19,86,121"
"Aug 05, 2019",93.09,105.59,93.09,96.83,"4,13,43,52,823","6,09,84,70,159"
"Aug 04, 2019",94.6,95.39,91.45,93.2,"2,42,76,08,117","5,86,88,57,449"
"Aug 03, 2019",95.02,96.84,94.16,94.58,"2,51,29,59,054","5,95,42,27,577"
"Aug 02, 2019",99.2,99.2,93.54,94.94,"2,88,27,84,454","5,97,54,97,672"
"Aug 01, 2019",98.57,100.26,95.98,99.18,"2,95,31,84,689","6,24,08,01,535"
"Jul 31, 2019",90.47,99.48,90.33,98.51,"3,05,14,71,469","6,19,73,37,878"
"Jul 30, 2019",90.47,92.19,89.02,90.57,"2,30,25,21,844","5,69,62,75,523"
"Jul 29, 2019",89.77,91.39,88.57,90.43,"2,45,78,24,867","5,68,60,62,706"
"Jul 28, 2019",88.89,90.41,85.35,89.77,"2,46,01,80,908","5,64,34,15,873"
"Jul 27, 2019",94.32,95.65,87.7,88.89,"2,62,65,17,608","5,58,66,78,799"
"Jul 26, 2019",93.41,94.55,90.75,94.31,"2,26,08,44,511","5,92,56,62,076"
"Jul 25, 2019",94.36,95.85,92.47,93.45,"2,69,02,73,677","5,87,04,41,888"
"Jul 24, 2019",90.46,96.42,88.15,94.31,"3,24,71,50,970","5,92,34,34,071"
"Jul 23, 2019",95.41,95.48,89.44,90.62,"2,70,09,24,026","5,69,05,13,769"
"Jul 22, 2019",99.56,100.25,92.3,95.42,"2,69,39,89,249","5,99,02,69,582"
"Jul 21, 2019",100.51,101.47,96.95,99.63,"2,82,90,54,215","6,25,32,13,998"
"Jul 20, 2019",98.46,104.61,97.71,100.61,"3,77,13,08,934","6,31,34,76,233"
"Jul 19, 2019",101.08,101.18,95.72,98.4,"3,98,39,90,085","6,17,36,53,347"
"Jul 18, 2019",89.69,103.15,87.45,101.09,"4,89,03,32,056","6,34,05,59,063"
"Jul 17, 2019",79.41,93.05,77.5,89.81,"4,61,63,60,556","5,63,20,42,532"
"Jul 16, 2019",90.9,92.06,77.5,79.5,"3,70,33,46,636","4,98,43,18,767"
"Jul 15, 2019",89.86,92.63,85.68,90.92,"3,57,03,61,793","5,69,93,07,530"
"Jul 14, 2019",101.11,101.68,88.81,89.77,"3,71,75,31,246","5,62,57,73,339"
"Jul 13, 2019",105.29,105.59,98.01,101.02,"3,35,35,38,171","6,32,95,05,235"
"Jul 12, 2019",102.83,106.36,101.21,105.3,"3,61,18,46,208","6,59,56,12,500"
"Jul 11, 2019",108.57,108.57,97.28,102.64,"4,63,38,53,162","6,42,77,25,958"
"Jul 10, 2019",119.5,120.1,103.82,108.5,"4,69,95,11,838","6,79,27,44,022"
"Jul 09, 2019",123.25,124.17,118.23,119.43,"3,78,56,41,025","7,47,53,93,728"
"Jul 08, 2019",120.28,125.08,118.6,123.29,"3,80,37,50,017","7,71,47,81,783"
"Jul 07, 2019",118.03,120.33,117.64,120.32,"3,34,86,62,401","7,52,76,88,155"
"Jul 06, 2019",118.38,121.29,117.33,117.82,"3,48,43,78,308","7,36,97,30,846"
"Jul 05, 2019",119.84,120.65,117.15,118.35,"4,11,08,68,217","7,40,11,37,488"
"Jul 04, 2019",122.5,126.67,119.05,119.98,"4,56,42,00,301","7,50,11,64,315"
"Jul 03, 2019",119.33,123.74,118.37,122.56,"4,52,96,82,890","7,66,11,88,686"
"Jul 02, 2019",122.56,123.29,112.65,119.24,"4,76,18,78,443","7,45,17,62,463"
"Jul 01, 2019",122.11,126.02,114.22,122.58,"5,03,41,62,436","7,65,86,90,466"
"Jun 30, 2019",133.72,136.26,120.44,122.25,"5,52,52,73,220","7,63,60,46,758"
"Jun 29, 2019",120.16,135.74,116.22,133.66,"5,74,57,85,825","8,34,71,17,542"
"Jun 28, 2019",114.41,122.02,113.47,120.15,"4,68,33,11,766","7,50,16,01,230"
"Jun 27, 2019",131.22,132.04,110.67,114.4,"5,58,86,11,122","7,14,12,34,400"
"Jun 26, 2019",136.48,138.32,128.94,131.27,"5,56,58,87,285","8,19,16,77,323"
"Jun 25, 2019",135.58,138.12,130.89,136.49,"4,41,10,92,400","8,51,57,26,713"
"Jun 24, 2019",136.92,138.69,132.83,135.53,"3,90,77,25,105","8,45,40,28,780"
"Jun 23, 2019",141.95,142.56,136.32,136.88,"3,99,89,80,168","8,53,60,77,179"
"Jun 22, 2019",139.04,146.43,138.48,141.9,"5,48,86,15,002","8,84,70,68,564"
"Jun 21, 2019",135.51,141.07,135.51,138.88,"4,37,82,60,963","8,65,68,23,083"
"Jun 20, 2019",136.6,137.08,132.64,135.48,"3,88,06,82,308","8,44,26,46,197"
"Jun 19, 2019",135.15,139.34,134.03,136.6,"4,38,39,60,510","8,51,04,98,678"
"Jun 18, 2019",134.47,135.92,129.75,135.16,"3,72,08,28,769","8,41,84,05,570"
"Jun 17, 2019",137.13,137.28,133.05,134.44,"3,23,02,30,843","8,37,15,07,504"
"Jun 16, 2019",138.15,138.79,134.54,137.12,"4,37,26,45,801","8,53,67,06,967"
"Jun 15, 2019",133.18,139.19,133.14,138.13,"4,32,90,02,013","8,59,72,09,351"
"Jun 14, 2019",131.31,133.18,126.86,133.05,"4,35,20,05,824","8,27,94,39,669"
"Jun 13, 2019",135.68,136.89,129.14,131.35,"4,94,77,94,845","8,17,16,23,427"
"Jun 12, 2019",136.09,142.71,132.24,135.65,"5,85,56,23,530","8,43,72,76,930"
"Jun 11, 2019",129.26,138.15,125.96,136.03,"5,44,17,87,587","8,45,87,30,745"
"Jun 10, 2019",115,129.71,113.17,129.07,"5,44,92,66,884","8,02,43,39,041"
"Jun 09, 2019",118.59,119.13,112.57,115.13,"4,36,03,01,111","7,15,61,26,160"
"Jun 08, 2019",117.28,119.5,114.46,118.55,"4,68,95,57,936","7,36,68,35,517"
"Jun 07, 2019",110.98,120.64,109.59,117.37,"5,14,09,08,477","7,29,18,32,561"
"Jun 06, 2019",103.81,111.33,102.09,111.11,"4,14,22,50,662","6,90,07,72,772"
"Jun 05, 2019",102.12,104.84,101.22,103.85,"3,58,51,62,872","6,44,84,54,322"
"Jun 04, 2019",107.37,107.37,99.29,102.09,"4,31,66,94,183","6,33,76,14,783"
"Jun 03, 2019",114.67,115.91,106.46,107.47,"3,83,23,52,496","6,67,00,82,970"
"Jun 02, 2019",112.71,116.25,111.91,114.7,"3,43,40,73,037","7,11,75,49,253"
"Jun 01, 2019",114.47,115.61,111.68,112.62,"3,80,71,58,511","6,98,65,44,718"
"May 31, 2019",108.7,114.63,105.91,114.54,"4,20,79,66,341","7,10,38,74,448"
"May 30, 2019",115.14,119.74,105.3,108.8,"4,97,12,90,022","6,74,61,80,187"
"May 29, 2019",114.93,117.87,110.47,115.08,"4,12,29,26,836","7,13,42,13,755"
"May 28, 2019",117.89,117.89,112.99,114.93,"4,17,18,86,802","7,12,32,12,215"
"May 27, 2019",111.44,120.69,111.13,118.03,"6,35,53,61,291","7,31,37,66,498"
"May 26, 2019",102.7,112.67,99.74,111.42,"5,16,83,78,349","6,90,23,46,395"
"May 25, 2019",100.05,104.11,98.72,102.67,"4,50,73,57,465","6,35,89,63,965"
"May 24, 2019",88.97,102.75,88.32,99.9,"5,39,36,57,682","6,18,59,76,031"
"May 23, 2019",88.2,89.74,85.23,89.18,"3,20,88,07,269","5,52,04,39,405"
"May 22, 2019",91.51,92,87.55,88.21,"3,39,85,28,443","5,45,94,27,424"
"May 21, 2019",91.57,92.44,89.59,91.51,"3,14,57,69,021","5,66,21,54,168"
"May 20, 2019",95.34,95.34,88.57,91.49,"3,56,69,21,483","5,65,99,72,915"
"May 19, 2019",86.68,96.54,86.13,95.32,"4,10,88,52,208","5,89,53,49,549"
