Date,Open*,High,Low,Close**,Volume,Market Cap
"Aug 31, 2019",0.223243,0.229449,0.221401,0.223143,91430.94,14341152
"Aug 30, 2019",0.222639,0.227293,0.217566,0.223152,110436,14338992
"Aug 29, 2019",0.224506,0.235342,0.217612,0.222639,94102.98,14303264
"Aug 28, 2019",0.240806,0.241413,0.217888,0.224493,169573,14419622
"Aug 27, 2019",0.249825,0.255421,0.236974,0.240806,111157,15464485
"Aug 26, 2019",0.22882,0.256652,0.226016,0.249762,216700,16036466
"Aug 25, 2019",0.251011,0.259679,0.222178,0.228519,338659,14669710
"Aug 24, 2019",0.228809,0.259046,0.228809,0.251012,210118,16110525
"Aug 23, 2019",0.22679,0.234911,0.223573,0.228841,81583.95,14684672
"Aug 22, 2019",0.219551,0.229973,0.213807,0.22679,123999,14550261
"Aug 21, 2019",0.227136,0.228685,0.210596,0.219551,66342.05,14082706
"Aug 20, 2019",0.233607,0.235691,0.22287,0.227179,60982.57,14569230
"Aug 19, 2019",0.238407,0.239588,0.224165,0.233575,369881,14976411
"Aug 18, 2019",0.229834,0.239328,0.226586,0.238298,61116.19,15276345
"Aug 17, 2019",0.216403,0.238486,0.212666,0.229786,316738,14727920
"Aug 16, 2019",0.21639,0.219405,0.208629,0.216349,66553.87,13864009
"Aug 15, 2019",0.209764,0.219589,0.197135,0.216362,69697.91,13862155
"Aug 14, 2019",0.234818,0.235833,0.206972,0.209304,226406,13407424
"Aug 13, 2019",0.235822,0.239183,0.228325,0.234826,97052.77,15039422
"Aug 12, 2019",0.24884,0.250758,0.229954,0.235743,122781,15095058
"Aug 11, 2019",0.234635,0.262808,0.232588,0.248765,208325,15925840
"Aug 10, 2019",0.243824,0.251127,0.219979,0.234657,359545,15019801
"Aug 09, 2019",0.251437,0.531119,0.242884,0.243824,1463672,15602651
"Aug 08, 2019",0.221122,0.286053,0.215942,0.251521,869573,16093168
"Aug 07, 2019",0.235691,0.24265,0.220373,0.221185,136888,14149402
"Aug 06, 2019",0.256355,0.256704,0.231512,0.23576,294989,15078799
"Aug 05, 2019",0.265272,0.273703,0.253375,0.256587,200678,16407655
"Aug 04, 2019",0.296022,0.296047,0.258411,0.265316,179788,16962485
"Aug 03, 2019",0.280592,0.301401,0.274599,0.295285,157784,18874745
"Aug 02, 2019",0.29124,0.291433,0.272979,0.281496,104425,17989855
"Aug 01, 2019",0.279112,0.307977,0.272718,0.290282,365677,18547684
"Jul 31, 2019",0.266808,0.278986,0.265945,0.278986,143219,17822379
"Jul 30, 2019",0.27734,0.278564,0.255454,0.266849,183375,17043701
"Jul 29, 2019",0.295049,0.30068,0.274616,0.27732,463196,17708974
"Jul 28, 2019",0.25283,0.302077,0.248439,0.294223,1497685,18784696
"Jul 27, 2019",0.244446,0.259713,0.227923,0.253067,518259,16153865
"Jul 26, 2019",0.248266,0.24999,0.241875,0.244446,75615.54,15600465
"Jul 25, 2019",0.243056,0.251761,0.242192,0.248394,50037.83,15849266
"Jul 24, 2019",0.236123,0.246665,0.228523,0.243147,103362,15511416
"Jul 23, 2019",0.23301,0.266387,0.22717,0.236123,266806,15060344
"Jul 22, 2019",0.246715,0.249905,0.229676,0.233043,85795.33,14860988
"Jul 21, 2019",0.247615,0.252777,0.238982,0.246724,42108.27,15730207
"Jul 20, 2019",0.235588,0.253449,0.234102,0.247819,83454.68,15796895
"Jul 19, 2019",0.228237,0.24093,0.227344,0.235334,74253.67,14998102
"Jul 18, 2019",0.214178,0.232007,0.206744,0.228237,177551,14542753
"Jul 17, 2019",0.210405,0.230595,0.199592,0.21406,368249,13636728
"Jul 16, 2019",0.236519,0.25321,0.208883,0.21105,684088,13442296
"Jul 15, 2019",0.23478,0.243093,0.221868,0.236747,182512,15075994
"Jul 14, 2019",0.272197,1.05,0.235998,0.236324,199625,15046058
"Jul 13, 2019",0.28176,0.282438,0.262557,0.272078,74391.67,17318962
"Jul 12, 2019",0.266949,0.288925,0.264002,0.28166,107848,17925283
"Jul 11, 2019",0.281787,0.288021,0.257567,0.267575,152141,17025388
"Jul 10, 2019",0.294825,0.305118,0.270075,0.280093,249270,17818372
"Jul 09, 2019",0.294683,0.300547,0.282187,0.294628,286256,18739348
"Jul 08, 2019",0.301043,0.317538,0.288039,0.294579,332997,18732456
"Jul 07, 2019",0.303817,0.309567,0.297157,0.301047,154926,19139910
"Jul 06, 2019",0.290814,0.310195,0.287374,0.303817,176884,19312099
"Jul 05, 2019",0.295866,0.311166,0.289847,0.290869,176242,18485298
"Jul 04, 2019",0.31012,0.317705,0.294573,0.295971,142495,18805789
"Jul 03, 2019",0.305688,0.324906,0.295333,0.310143,390232,19702286
"Jul 02, 2019",0.310922,0.332143,0.288783,0.305677,592716,19414617
"Jul 01, 2019",0.298746,0.322876,0.297041,0.310853,265902,19739445
"Jun 30, 2019",0.332576,0.33713,0.298255,0.298498,205337,18951006
"Jun 29, 2019",0.32958,0.347573,0.312509,0.332595,224624,21111421
"Jun 28, 2019",0.322506,0.333899,0.3177,0.329565,210030,20914883
"Jun 27, 2019",0.373958,0.381253,0.311484,0.322506,321693,20462753
"Jun 26, 2019",0.364265,0.43369,0.341701,0.373566,1435112,23697660
"Jun 25, 2019",0.362803,0.375374,0.3598,0.364375,284341,23109885
"Jun 24, 2019",0.3737,0.374665,0.359943,0.36276,225456,23002824
"Jun 23, 2019",0.379342,0.399603,0.363055,0.3737,373448,23691750
"Jun 22, 2019",0.392964,0.392964,0.357484,0.379305,465186,24042139
"Jun 21, 2019",0.369907,0.401598,0.367167,0.392964,265897,24902808
"Jun 20, 2019",0.364632,0.397225,0.360341,0.369656,623011,23420940
"Jun 19, 2019",0.347879,0.392731,0.346281,0.364701,613265,23102225
"Jun 18, 2019",0.344215,0.354281,0.338082,0.347666,311850,22018622
"Jun 17, 2019",0.347,0.393537,0.342333,0.344338,1154515,21803462
"Jun 16, 2019",0.356577,0.367585,0.345735,0.346753,365663,21951932
"Jun 15, 2019",0.37067,0.405203,0.352704,0.356577,981713,22569223
"Jun 14, 2019",0.360513,0.375464,0.336738,0.370558,604627,23449349
"Jun 13, 2019",0.371293,0.376648,0.358267,0.360284,297180,22794691
"Jun 12, 2019",0.360234,0.373841,0.351718,0.372074,366702,23535855
"Jun 11, 2019",0.37372,0.375255,0.353487,0.360234,342254,22782353
"Jun 10, 2019",0.35817,0.380329,0.3521,0.373358,301810,23607504
"Jun 09, 2019",0.378101,0.390862,0.351484,0.35817,419563,22642522
"Jun 08, 2019",0.37146,0.383046,0.363489,0.378101,380972,23897661
"Jun 07, 2019",0.350354,0.376223,0.346444,0.371546,569254,23478480
"Jun 06, 2019",0.345348,0.361003,0.332493,0.350597,482637,22150070
"Jun 05, 2019",0.335584,0.347065,0.326361,0.345361,291341,21814627
"Jun 04, 2019",0.349044,0.349044,0.317353,0.335158,395431,21165757
"Jun 03, 2019",0.387381,0.387381,0.346314,0.349422,437105,22062039
"Jun 02, 2019",0.361401,0.399684,0.351499,0.3873,942447,23124864
"Jun 01, 2019",0.365242,0.365802,0.348352,0.361424,270226,21579837
"May 31, 2019",0.341015,0.394817,0.330157,0.365301,682399,21811374
"May 30, 2019",0.369196,0.392453,0.332709,0.341015,479112,20361256
"May 29, 2019",0.363657,0.401847,0.343372,0.369149,504127,22041118
"May 28, 2019",0.3542,0.367815,0.347559,0.363701,286416,21715813
"May 27, 2019",0.35182,0.35731,0.338621,0.354367,476193,21158487
"May 26, 2019",0.359045,0.373178,0.344778,0.352799,528584,21064857
"May 25, 2019",0.377955,0.385614,0.35309,0.359045,446961,21437802
"May 24, 2019",0.409138,0.41865,0.373832,0.377955,339932,22566907
"May 23, 2019",0.372685,0.415485,0.367441,0.408457,300235,24388085
"May 22, 2019",0.372678,0.406892,0.368552,0.372685,401765,22252246
"May 21, 2019",0.357444,0.387515,0.351376,0.372769,326457,22257244
"May 20, 2019",0.378384,0.384192,0.353414,0.35805,328638,21378419
"May 19, 2019",0.324368,0.390115,0.321928,0.378369,538557,22591619
"May 18, 2019",0.336194,0.360275,0.321805,0.324265,378753,19361196
"May 17, 2019",0.348895,0.351801,0.299274,0.336194,453645,20073441
"May 16, 2019",0.358626,0.388559,0.344688,0.348991,600260,20837513
"May 15, 2019",0.319611,0.365814,0.317348,0.359083,510317,21440108
"May 14, 2019",0.31406,0.327059,0.306894,0.319684,340450,19087633
"May 13, 2019",0.275637,0.34052,0.273119,0.313875,502783,18740817
"May 12, 2019",0.31539,0.320986,0.273593,0.275637,205233,16457695
"May 11, 2019",0.28354,0.330607,0.279549,0.315182,374832,18818848
