Date,Open*,High,Low,Close**,Volume,Market Cap
"Aug 31, 2019",0.015119,0.015119,0.015119,0.015119,0,181363
"Aug 30, 2019",0.014924,0.015169,0.014775,0.015119,0,181363
"Aug 29, 2019",0.012846,0.014974,0.012004,0.014924,83.1,179017
"Aug 28, 2019",0.012846,0.012846,0.012846,0.012846,0,154091
"Aug 27, 2019",0.012846,0.012846,0.012846,0.012846,0,154091
"Aug 26, 2019",0.012846,0.012846,0.012846,0.012846,0,154091
"Aug 25, 2019",0.012846,0.012846,0.012846,0.012846,0,154091
"Aug 24, 2019",0.012846,0.012846,0.012846,0.012846,0,154091
"Aug 23, 2019",0.012865,0.01301,0.012791,0.012846,0,154091
"Aug 22, 2019",0.012767,0.01596,0.012345,0.012865,118.51,154318
"Aug 21, 2019",0.012917,0.016222,0.01254,0.012767,52.73,153139
"Aug 20, 2019",0.013102,0.013125,0.012739,0.012917,0,154938
"Aug 19, 2019",0.013646,0.017163,0.012809,0.0131,23.57,157141
"Aug 18, 2019",0.013768,0.013768,0.01002,0.013639,222.72,163606
"Aug 17, 2019",0.013768,0.013768,0.013768,0.013768,0,165153
"Aug 16, 2019",0.014339,0.01447,0.013709,0.013768,0,165153
"Aug 15, 2019",0.015955,0.015955,0.013693,0.014337,46.93,171977
"Aug 14, 2019",0.015955,0.015955,0.015955,0.015955,0,191391
"Aug 13, 2019",0.015955,0.015955,0.015955,0.015955,0,191391
"Aug 12, 2019",0.015955,0.015955,0.015955,0.015955,0,191391
"Aug 11, 2019",0.015888,0.016033,0.015721,0.015955,0,191391
"Aug 10, 2019",0.016498,0.016498,0.015838,0.01589,10.64,190605
"Aug 09, 2019",0.016744,0.016773,0.01639,0.016498,0,197895
"Aug 08, 2019",0.016732,0.016765,0.016142,0.016751,26.28,200933
"Aug 07, 2019",0.018239,0.018602,0.016107,0.016737,11.92,200763
"Aug 06, 2019",0.018995,0.019787,0.01791,0.018246,17.67,218863
"Aug 05, 2019",0.017661,0.018997,0.01765,0.018995,0,227852
"Aug 04, 2019",0.017431,0.017733,0.017091,0.017665,48.93,211897
"Aug 03, 2019",0.014598,0.017461,0.010334,0.017427,47.11,209047
"Aug 02, 2019",0.015973,0.017159,0.014424,0.014601,35.83,175150
"Aug 01, 2019",0.016133,0.016199,0.015869,0.015973,0,191601
"Jul 31, 2019",0.016291,0.016596,0.014337,0.016126,27.27,193432
"Jul 30, 2019",0.012446,0.016355,0.009481,0.016295,7.9,195462
"Jul 29, 2019",0.012298,0.012473,0.012288,0.012446,0,149296
"Jul 28, 2019",0.015294,0.015294,0.011904,0.012299,0.199837,147532
"Jul 27, 2019",0.015294,0.015294,0.015294,0.015294,0,183452
"Jul 26, 2019",0.015537,0.015551,0.015243,0.015294,0,183452
"Jul 25, 2019",0.017448,0.018075,0.015453,0.015545,160.05,186471
"Jul 24, 2019",0.013197,0.019265,0.012891,0.017455,3031.59,209380
"Jul 23, 2019",0.014437,0.014441,0.01318,0.013197,72.49,158298
"Jul 22, 2019",0.014659,0.015522,0.013624,0.014439,67.88,173204
"Jul 21, 2019",0.015629,0.015664,0.014361,0.014659,73.49,175834
"Jul 20, 2019",0.014523,0.016049,0.014393,0.015643,41.77,187648
"Jul 19, 2019",0.014807,0.014892,0.013377,0.014506,39.62,174006
"Jul 18, 2019",0.012009,0.01492,0.011916,0.014807,7.57,177610
"Jul 17, 2019",0.013169,0.013169,0.011955,0.012002,3.42,143964
"Jul 16, 2019",0.013502,0.013654,0.013154,0.013169,0,157961
"Jul 15, 2019",0.013126,0.013701,0.012574,0.013515,125.24,162117
"Jul 14, 2019",0.014225,0.014309,0.012965,0.013126,0,157448
"Jul 13, 2019",0.01066,0.014341,0.01066,0.014219,13.66,170562
"Jul 12, 2019",0.01313,0.013292,0.010573,0.01066,0,127872
"Jul 11, 2019",0.014606,0.014898,0.012854,0.01312,44.92,157374
"Jul 10, 2019",0.015853,0.017035,0.014102,0.014606,6.55,175207
"Jul 09, 2019",0.01499,0.018721,0.011341,0.015841,401.72,190022
"Jul 08, 2019",0.020029,0.020089,0.014451,0.014984,53.88,179742
"Jul 07, 2019",0.020161,0.020266,0.0196,0.020029,5.71,240258
"Jul 06, 2019",0.018638,0.020924,0.014922,0.020161,105.74,241834
"Jul 05, 2019",0.014558,0.022289,0.013904,0.018642,202.2,223611
"Jul 04, 2019",0.015303,0.024337,0.014535,0.014562,36.68,174678
"Jul 03, 2019",0.013625,0.023514,0.013625,0.015304,2314.62,183574
"Jul 02, 2019",0.013201,0.013739,0.012188,0.013625,8.07,163439
"Jul 01, 2019",0.011075,0.014548,0.011041,0.013201,72.99,158348
"Jun 30, 2019",0.013735,0.015101,0.011064,0.011064,1.57,132719
"Jun 29, 2019",0.015358,0.022614,0.013094,0.013735,59.02,164760
"Jun 28, 2019",0.010601,0.027677,0.010543,0.015358,65.97,184230
"Jun 27, 2019",0.013527,0.026661,0.009561,0.010601,306.27,127165
"Jun 26, 2019",0.014146,0.018193,0.012897,0.013522,65.16,162195
"Jun 25, 2019",0.01475,0.01475,0.012152,0.014146,14.72,169686
"Jun 24, 2019",0.014642,0.01479,0.014316,0.01475,0,176931
"Jun 23, 2019",0.011877,0.015192,0.01184,0.014642,12.35,175639
"Jun 22, 2019",0.013717,0.014544,0.011567,0.011875,4.02,142449
"Jun 21, 2019",0.012851,0.013717,0.012845,0.013717,24.95,164539
"Jun 20, 2019",0.012328,0.012941,0.012312,0.012841,2.44,154036
"Jun 19, 2019",0.012255,0.012348,0.012091,0.01233,7.94,147907
"Jun 18, 2019",0.012255,0.012255,0.012255,0.012255,0,147007
"Jun 17, 2019",0.011952,0.012473,0.011945,0.012255,0,147007
"Jun 16, 2019",0.010801,0.012147,0.009947,0.011941,29.85,143242
"Jun 15, 2019",0.010869,0.01324,0.010725,0.010801,5.13,129562
"Jun 14, 2019",0.010869,0.010869,0.010869,0.010869,0,130372
"Jun 13, 2019",0.010812,0.010907,0.01073,0.010869,0,130372
"Jun 12, 2019",0.010438,0.010888,0.010438,0.010834,4.11,129957
"Jun 11, 2019",0.010559,0.010596,0.010226,0.010438,0,125208
"Jun 10, 2019",0.010015,0.010563,0.009877,0.010549,1.01,126537
"Jun 09, 2019",0.008001,0.010211,0.007932,0.010015,3.33,120135
"Jun 08, 2019",0.012016,0.012446,0.007883,0.008001,89,95978.34
"Jun 07, 2019",0.009924,0.012188,0.009924,0.012018,4,144164
"Jun 06, 2019",0.009924,0.009924,0.009924,0.009924,0,119040
"Jun 05, 2019",0.009924,0.009924,0.009924,0.009924,0,119040
"Jun 04, 2019",0.010612,0.010612,0.009749,0.009924,0,119040
"Jun 03, 2019",0.012483,0.012483,0.010558,0.010624,0.65912,127444
"Jun 02, 2019",0.013256,0.013545,0.010869,0.012481,105.09,149708
"Jun 01, 2019",0.016513,0.01661,0.010343,0.013256,399.62,159013
"May 31, 2019",0.015159,0.016538,0.014895,0.016516,68.05,198117
"May 30, 2019",0.01559,0.016496,0.014893,0.015159,92.15,181834
"May 29, 2019",0.010553,0.0161,0.010553,0.015588,18.29,186983
"May 28, 2019",0.010733,0.010733,0.010505,0.010553,0,126584
"May 27, 2019",0.012832,0.012832,0.010584,0.010739,5.73,128819
"May 26, 2019",0.012874,0.012914,0.01276,0.012832,0,153927
"May 25, 2019",0.012228,0.012927,0.009862,0.012874,14,154428
"May 24, 2019",0.01473,0.015059,0.012186,0.012228,58.03,146684
"May 23, 2019",0.010816,0.014842,0.010816,0.014724,7.85,176624
"May 22, 2019",0.010816,0.010816,0.010816,0.010816,0,129747
