Date,Open*,High,Low,Close**,Volume,Market Cap
"Aug 31, 2019",0.002281,0.002296,0.001833,0.002093,23.25,152445
"Aug 30, 2019",0.001938,0.002286,0.001898,0.00228,48.94,166110
"Aug 29, 2019",0.002272,0.002445,0.001934,0.001938,29.07,141156
"Aug 28, 2019",0.002038,0.002459,0.001819,0.002272,37.72,165534
"Aug 27, 2019",0.002611,0.002614,0.002024,0.002038,20.38,148444
"Aug 26, 2019",0.002717,0.002823,0.002595,0.002611,50.84,190218
"Aug 25, 2019",0.002437,0.002764,0.002422,0.002714,388.12,197690
"Aug 24, 2019",0.002497,0.0025,0.002395,0.002438,20.31,177586
"Aug 23, 2019",0.002493,0.002564,0.002479,0.002497,20.81,181937
"Aug 22, 2019",0.002496,0.002542,0.002414,0.002493,52.45,181640
"Aug 21, 2019",0.002693,0.002846,0.002458,0.002496,55.34,181849
"Aug 20, 2019",0.002824,0.002848,0.002694,0.002694,32.51,196247
"Aug 19, 2019",0.002828,0.003029,0.002558,0.002822,34.77,205615
"Aug 18, 2019",0.002762,0.003047,0.002628,0.002826,150.31,205908
"Aug 17, 2019",0.002908,0.002909,0.002725,0.002761,30.68,201158
"Aug 16, 2019",0.002565,0.003401,0.002558,0.002907,64.23,211752
"Aug 15, 2019",0.002701,0.002885,0.002473,0.002564,54.2,186814
"Aug 14, 2019",0.002938,0.003063,0.002221,0.002695,77.38,196342
"Aug 13, 2019",0.003033,0.003066,0.002484,0.00294,21.78,214167
"Aug 12, 2019",0.003368,0.00337,0.003031,0.003031,43.26,220840
"Aug 11, 2019",0.003111,0.003369,0.002981,0.003369,92.81,245408
"Aug 10, 2019",0.003176,0.003193,0.002911,0.003111,42.92,226668
"Aug 09, 2019",0.003093,0.003191,0.002758,0.003176,58.12,231366
"Aug 08, 2019",0.002875,0.003334,0.002853,0.003093,83.05,225300
"Aug 07, 2019",0.00263,0.003658,0.002012,0.002876,61.41,209514
"Aug 06, 2019",0.002946,0.003011,0.002582,0.002631,33.17,191643
"Aug 05, 2019",0.002575,0.007347,0.002573,0.00295,709.35,214896
"Aug 04, 2019",0.002486,0.002612,0.002476,0.002575,57.46,187619
"Aug 03, 2019",0.002341,0.00266,0.002338,0.002486,79.91,181118
"Aug 02, 2019",0.002233,0.002366,0.002135,0.002342,48.35,170591
"Aug 01, 2019",0.002068,0.002497,0.001973,0.002233,53.86,162641
"Jul 31, 2019",0.000961,0.002871,0.000961,0.002067,185.86,150603
"Jul 30, 2019",0.001354,0.001357,0.000961,0.000961,0,70042.64
"Jul 29, 2019",0.001144,0.001372,0.001143,0.001304,58.15,94963.91
"Jul 28, 2019",0.001326,0.001337,0.001107,0.001144,9.53,83348.45
"Jul 27, 2019",0.001613,0.001662,0.001322,0.001328,9.48,96729.01
"Jul 26, 2019",0.001595,0.001784,0.001519,0.001613,30.28,117488
"Jul 25, 2019",0.001443,0.001602,0.001298,0.001595,13.71,116221
"Jul 24, 2019",0.001348,0.00158,0.001311,0.001444,34.45,105177
"Jul 23, 2019",0.00155,0.001554,0.001346,0.001348,11.74,98233.69
"Jul 22, 2019",0.001588,0.001597,0.001329,0.001551,10.34,112963
"Jul 21, 2019",0.001359,0.002086,0.001351,0.001588,38.61,115710
"Jul 20, 2019",0.001646,0.00171,0.001168,0.001359,13.45,98976.66
"Jul 19, 2019",0.001925,0.002006,0.001625,0.001644,28.89,119777
"Jul 18, 2019",0.002082,0.002089,0.001537,0.001925,22.06,140213
"Jul 17, 2019",0.001717,0.002928,0.001715,0.002081,54.24,151609
"Jul 16, 2019",0.001758,0.002007,0.001713,0.001723,31.54,125486
"Jul 15, 2019",0.002671,0.002701,0.001758,0.001758,16.89,128056
"Jul 14, 2019",0.001777,0.002831,0.001549,0.002669,223.27,194459
"Jul 13, 2019",0.002157,0.002222,0.001699,0.001777,30.29,129491
"Jul 12, 2019",0.001703,0.002249,0.001673,0.002157,54.37,157141
"Jul 11, 2019",0.003991,0.004261,0.001667,0.001702,11.34,123964
"Jul 10, 2019",0.002484,0.004622,0.002447,0.00399,285.11,290702
"Jul 09, 2019",0.002027,0.002494,0.001548,0.002482,21.24,180810
"Jul 08, 2019",0.001903,0.002455,0.001903,0.001978,110.5,144110
"Feb 06, 2019",0.001903,0.001903,0.001903,0.001903,0,138666
"Feb 05, 2019",0.001903,0.001903,0.001903,0.001903,0,138624
"Feb 04, 2019",0.001903,0.001903,0.001903,0.001903,0,138576
"Feb 03, 2019",0.001903,0.001903,0.001903,0.001903,0,138534
